id,title,org_name,location,ncs,job_type,start_date,end_date,dday,status,detail_url
126,2025년 한국마사회 체험형 청년 인턴 채용공고(장애인),한국마사회,경기,"경영.회계.사무,문화.예술.디자인.방송,이용.숙박.여행.오락.스포츠,정보통신,농림어업",청년인턴(체험형),2025.06.09,25.06.23,D+10,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286912
127,"2025년 한국마사회 체험형 청년 인턴 채용공고(일반, 자립준비청년, 북한이탈주민)",한국마사회,"부산,경기,경남,제주","경영.회계.사무,문화.예술.디자인.방송,이용.숙박.여행.오락.스포츠,정보통신,농림어업",청년인턴(체험형),2025.06.09,25.06.23,D+10,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286911
128,2025년도 한국서부발전(주) 1차 체험형 인턴 모집공고,한국서부발전(주),"인천,대전,경기,충남,경북,전북","경영.회계.사무,건설,기계,화학,전기.전자,정보통신",청년인턴(체험형),2025.06.09,25.06.23,D+10,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286876
129,[광주보훈병원] 2025년 하반기 체험형 청년인턴(장애인) 공개채용,한국보훈복지의료공단,광주,"경영.회계.사무,보건.의료",청년인턴(체험형),2025.06.05,25.06.15,D+18,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286908
130,[광주보훈병원] 2025년 하반기 체험형 청년인턴 공개채용,한국보훈복지의료공단,광주,"경영.회계.사무,보건.의료",청년인턴(체험형),2025.06.05,25.06.15,D+18,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286907
131,[에너지경제연구원] 공공기관 청년인턴(장애인제한경쟁) 채용 공고(인재개발팀),에너지경제연구원,울산,경영.회계.사무,청년인턴(체험형),2025.06.05,25.06.20,D+13,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286901
132,"2025년도 한국환경공단 체험형 인턴(장애, 자립준비청년) 채용공고",한국환경공단,"서울,인천,대전,대구,부산,광주,경기,강원,충북,전북,제주",경영.회계.사무,청년인턴(체험형),2025.06.05,25.06.19,D+14,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286884
133,(재)우체국시설관리단 (본사)청년인턴(채용형) 채용 공고,(재)우체국시설관리단,서울,경영.회계.사무,청년인턴(채용형),2025.06.05,25.06.20,D+13,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286881
134,제주대학교병원 체험형 청년인턴(사무보조) 모집공고,제주대학교병원,제주,보건.의료,청년인턴(체험형),2025.06.05,25.06.11,D+22,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286861
135,[수원보훈요양원] 체험형 청년인턴 공개채용 공고,한국보훈복지의료공단,경기,경영.회계.사무,청년인턴(체험형),2025.06.05,25.06.16,D+17,마감,https://job.alio.go.kr/recruit.do?pageNo=1&idx=286846
